run_id,geometry_id,repeat_index,seed,target_distance_m,total_distance_m,waypoint_count,stop_count,speed_m_s,altitude_m,total_flight_time_s,total_flight_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid,source_file,source_repeat_index
19523d9d_geometry_0001_01,geometry_0001,1,1181241943,176.015836907929,176.01583690792893,7,7,2.5,13.0,132.79246580000017,10.729122413919605,290.8494466249683,16.285469889640808,17.88770291628316,1327,1328,True,smoke_test0.csv,1
19523d9d_geometry_0002_01,geometry_0002,1,440213415,115.71371810381164,115.71371810381166,3,3,2.5,13.0,95.89232651699967,7.538107145981226,282.97102644161527,16.343938268635643,17.34936352137853,958,959,True,smoke_test0.csv,1
72ab671e_geometry_0001_01,geometry_0001,2,1181241943,176.015836907929,176.01583690792893,7,7,2.5,13.0,133.8133640620008,10.774190508287557,289.66919611428153,16.286173319798785,17.81583979091509,1338,1339,True,smoke_test1.csv,1
72ab671e_geometry_0002_01,geometry_0002,2,440213415,115.71371810381164,115.71371810381166,3,3,2.5,13.0,95.8849034670002,7.535137289497799,282.8585460367438,16.344033146799543,17.3424396261231,958,959,True,smoke_test1.csv,1
72ab671e_geometry_0003_01,geometry_0003,1,373399426,221.32807761607268,221.32807761607268,7,7,2.5,13.0,150.88296706799974,12.290595203730092,293.213383525602,16.259097514522242,18.05982725800684,1508,1509,True,smoke_test1.csv,1
72ab671e_geometry_0004_01,geometry_0004,1,127978094,184.504494689786,184.504494689786,6,6,2.5,13.0,133.88201038599982,10.763775162374731,289.3895856436659,16.28620763640514,17.798251967718567,1338,1339,True,smoke_test1.csv,1
72ab671e_geometry_0005_01,geometry_0005,1,113971123,114.98207596857654,114.98207596857652,2,2,2.5,13.0,92.883853327,7.21464768829859,279.574135637316,16.352179444131348,17.135370924050314,928,929,True,smoke_test1.csv,1
72ab671e_geometry_0006_01,geometry_0006,1,1801823908,163.08841446591825,163.08841446591822,6,6,2.5,13.0,124.88439639700027,10.030791091650196,289.1159864873666,16.298292170723883,17.769094837455153,1248,1249,True,smoke_test1.csv,1
72ab671e_geometry_0007_01,geometry_0007,1,1194819984,151.87344740541658,151.87344740541656,3,3,2.5,13.0,110.88433883199924,8.817761648161015,286.2370186551304,16.320336246404484,17.571090708883954,1108,1109,True,smoke_test1.csv,1
72ab671e_geometry_0008_01,geometry_0008,1,685731524,233.7264153980608,233.72641539806085,8,8,2.5,13.0,159.8827031790006,13.023192145944472,293.2036819435784,16.247172767777528,18.072038368849064,1598,1599,True,smoke_test1.csv,1
72ab671e_geometry_0009_01,geometry_0009,1,1193448329,198.4282366670521,198.4282366670522,7,7,2.5,13.0,140.8835512629994,11.4391415855472,292.26891538104053,16.273298864587982,17.987252927523414,1408,1409,True,smoke_test1.csv,1
72ab671e_geometry_0011_01,geometry_0011,1,415393687,94.83933494082366,94.83933494082363,2,2,2.5,13.0,85.88340830000016,6.597082622216112,276.4759331138297,16.365107872710933,16.935319730120778,858,859,True,smoke_test1.csv,1
72ab671e_geometry_0012_01,geometry_0012,1,1136108454,218.03918875403423,218.0391887540342,4,4,2.5,13.0,140.88305811899954,11.395809341569134,291.1621371727983,16.27501853363492,17.917614886128707,1408,1409,True,smoke_test1.csv,1
72ab671e_geometry_0013_01,geometry_0013,1,1973214822,194.08562126030867,194.08562126030867,8,8,2.5,13.0,143.8840687970005,11.673440239186007,292.0370681526363,16.269737369571814,17.97692798248921,1438,1439,True,smoke_test1.csv,1
72ab671e_geometry_0014_01,geometry_0014,1,1625792787,155.9833116339081,155.9833116339081,6,6,2.5,13.0,121.883970633,9.72434259128279,287.1811603093182,16.30471284160661,17.645003667784284,1218,1219,True,smoke_test1.csv,1
72ab671e_geometry_0015_01,geometry_0015,1,1553210608,168.32650100371632,168.32650100371632,2,2,2.5,13.0,114.88419896599952,9.126222828137347,285.9369375937311,16.31563089203067,17.55758009509899,1148,1149,True,smoke_test1.csv,1
72ab671e_geometry_0018_01,geometry_0018,1,433797840,216.8508353624235,216.8508353624235,2,2,2.5,13.0,133.8842968429999,10.76065187565851,289.305857460356,16.286727415260046,17.792150446506604,1338,1339,True,smoke_test1.csv,1
72ab671e_geometry_0021_01,geometry_0021,1,306671447,187.22240318753617,187.22240318753617,7,7,2.5,13.0,136.88381782800025,11.072179222295713,291.1583798429213,16.279932852467105,17.91261461925733,1368,1369,True,smoke_test1.csv,1
72ab671e_geometry_0022_01,geometry_0022,1,1051454923,204.95791566691776,204.9579156669178,6,6,2.5,13.0,140.88435431200014,11.423330682303936,291.86420714165985,16.274018523877526,17.961724164994198,1408,1409,True,smoke_test1.csv,1
72ab671e_geometry_0023_01,geometry_0023,1,1159417075,153.9616338961785,153.9616338961785,3,3,2.5,13.0,111.8837788410001,8.850815159413653,284.7423823611747,16.320999863107254,17.47975828729643,1118,1119,True,smoke_test1.csv,1
72ab671e_geometry_0024_01,geometry_0024,1,943239974,217.5476610071985,217.54766100719849,7,7,2.5,13.0,148.88433964399883,12.135479770324382,293.40119639036845,16.26141988038216,18.06871684451004,1488,1489,True,smoke_test1.csv,1
72ab671e_geometry_0026_01,geometry_0026,1,1354860540,211.48841504108933,211.48841504108933,3,3,2.5,13.0,134.88419402099862,10.8677386954763,290.0184145266352,16.284375110849616,17.83804992996736,1348,1349,True,smoke_test1.csv,1
72ab671e_geometry_0027_01,geometry_0027,1,906164396,152.12890511708434,152.12890511708437,5,5,2.5,13.0,116.88342270800058,9.349603967147804,287.92338838987433,16.310300154804267,17.684148404922517,1168,1169,True,smoke_test1.csv,1
